財務省,関東財務局,東京財務事務所,一般会計,普通財産,店舗敷地,東京都港区,-,18745297,44,18745297,0,0,0,0,0,市街化区域,商業地域,80,700
財務省,関東財務局,東京財務事務所,一般会計,普通財産,私道敷地,東京都港区,-,1456707,74,1456707,0,0,0,0,0,市街化区域,商業地域,80,1000
財務省,関東財務局,東京財務事務所,一般会計,普通財産,私道敷地,東京都港区,-,1250490,39,1250490,0,0,0,0,0,市街化区域,第二種住居地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,店舗,東京都港区,-,106564817,0,0,73.16,131.14,106564817,0,0,-,-,-,-
財務省,関東財務局,東京財務事務所,一般会計,普通財産,大使館敷地,東京都港区,-,4340347852,12833,4340347852,0,0,0,0,0,市街化区域,第二種住居地域,60,400
財務省,関東財務局,東京財務事務所,一般会計,普通財産,私道敷地,東京都港区,-,292596,10,292596,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,私道敷地,東京都港区,-,292596,10,292596,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,私道敷地,東京都港区,-,292596,10,292596,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,私道敷地,東京都港区,-,292596,10,292596,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,私道敷地,東京都港区,-,292596,10,292596,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,私道敷地,東京都港区,-,292596,10,292596,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,私道敷地,東京都港区,-,292595,10,292595,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,事務所等敷地,東京都港区,-,91668400,234,91668400,0,0,0,0,0,市街化区域,近隣商業地域,80,400
財務省,関東財務局,東京財務事務所,一般会計,普通財産,住宅敷地,東京都港区,-,32052735,129,32052735,0,0,0,0,0,市街化区域,近隣商業地域,80,400
財務省,関東財務局,東京財務事務所,一般会計,普通財産,大使館敷地,東京都港区,-,3299939505,5943,3299939505,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,住宅敷地,東京都港区,-,73964246,203,73964246,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,住宅敷地,東京都港区,-,102064249,280,102064249,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,住宅敷地,東京都港区,-,296877549,214,296877549,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,住宅敷地,東京都港区,-,606359047,1688,606359047,0,0,0,0,0,市街化区域,商業地域,80,500
財務省,関東財務局,東京財務事務所,一般会計,普通財産,住宅敷地,東京都港区,-,44538088,183,44538088,0,0,0,0,0,市街化区域,第二種住居地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,私道敷地,東京都港区,-,285090,9,285090,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,300
