財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都文京区本郷５−３３２−６,5967297,50,5967297,市街化区域,第二種住居地域,60,300,一般競争入札（未実施）
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都文京区白山４−１２６−７,521388280,1122,521388280,市街化区域,第一種低層住居専用地域,60,150,地方公共団体等へ売払
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都文京区西片１−１０−５５４,210456810,280,210456810,市街化区域,第一種低層住居専用地域,60,150,一般競争入札（未実施）
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都台東区花川戸１−２４−４,42861162,68,42861162,市街化区域,商業地域,80,700,一般競争入札（未実施）
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都台東区雷門１−２５−２９,9939905,33,9939905,市街化区域,商業地域,80,700,一般競争入札（未実施）
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都墨田区京島３−８１−３８,13608823,57,13608823,市街化区域,準工業地域,80,200,当分の間入札実施が困難
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都墨田区向島５−５０−３０,25634694,106,25634694,市街化区域,近隣商業地域,80,300,当分の間入札実施が困難
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都墨田区太平１−１０−３外１筆,64853444,199,64853444,市街化区域,近隣商業地域,80,400,当分の間入札実施が困難
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都江東区亀戸５−１７９−１２,2422070,85,2422070,市街化区域,第一種住居地域,60,300,当分の間入札実施が困難
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都江東区越中島２−１−３１,103393238,798,103393238,市街化区域,第一種住居地域,60,300,一般競争入札（未実施）
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都品川区上大崎３−３５３−３外４筆,636520142,1140,636520142,市街化区域,第一種住居地域,60,300,地方公共団体等へ売払
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都品川区南品川４−２６２−１,796783848,2376,796783848,市街化区域,第一種住居地域,60,300,地方公共団体等へ売払
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都品川区小山台２−２２−１０外１筆,6263369462,22211,6263369462,市街化区域,第一種中高層住居専用地域,60,200,地方公共団体等へ売払
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都品川区小山台２−２２−３,546456036,1467,546456036,市街化区域,第一種中高層住居専用地域,60,200,地方公共団体等へ売払
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都品川区東五反田５−６０−４７,1182830866,1466,1182830866,市街化区域,第一種低層住居専用地域,60,150,地方公共団体等へ売払
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都目黒区中町１−１５３８−２５,115808000,263,115808000,市街化区域,近隣商業地域,80,200,一般競争入札（未実施）
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都目黒区中目黒２−２８３−６,2240632804,5102,2240632804,市街化区域,第二種中高層住居専用地域,60,200,国において利用
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都目黒区八雲３−３５−３,323720000,647,323720000,市街化区域,第一種低層住居専用地域,60,150,地方公共団体等において利用
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都目黒区目黒３−９３５−２,901347514,2340,901347514,市街化区域,第一種低層住居専用地域,60,150,一般競争入札（未実施）
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都目黒区鷹番３−１０３−１外１筆,472869329,878,472869329,市街化区域,第一種中高層住居専用地域,60,200,地方公共団体等において利用
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都大田区中央４−１０３５−２８外２筆,46051152,165,46051152,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都大田区中央２−４２−４,10650711,43,10650711,市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都大田区仲六郷３−９−２４,19027677,90,19027677,市街化区域,準工業地域,60,200,一般競争入札（売残）
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都大田区千鳥２−２１,686484332,1878,686484332,市街化区域,準工業地域,60,200,地方公共団体等へ売払
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都大田区南馬込１−７５２−１,126310259,391,126310259,市街化区域,第一種低層住居専用地域,50,100,一般競争入札（未実施）
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都大田区南馬込１−８０６−２４,30624511,120,30624511,市街化区域,第一種低層住居専用地域,50,100,一般競争入札（売残）
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都大田区大森北３−３２４−１,5304572,80,5304572,市街化区域,第一種住居地域,60,300,一般競争入札（売残）
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都大田区矢口２−２８−１０,102800004,313,102800004,市街化区域,準工業地域,60,200,当分の間入札実施が困難
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都大田区矢口２−７８２−１０,9243428,121,9243428,市街化区域,準工業地域,60,200,一般競争入札（未実施）
財務省,関東財務局,東京財務事務所,一般会計,普通財産,東京都大田区西六郷１−６−８９,13190971,52,13190971,市街化区域,準工業地域,60,200,一般競争入札（未実施）
