省庁名,部局名,局部所名,会計名,分類種類名,合計価格　（円）,土地数量計　（u）,土地価格計　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格計　（円）,立木竹価格計　（円）,工作物価格計　（円）,政府出資等価格計　（円）,不動産信託受益権価格計　（円）,機械器具価格計　（円）,地上権等数量計,地上権等価格計　（円）
財務省,九州財務局,鹿児島財務事務所,一般会計,普通財産,95868069,1140405.27,95868069,0,0,0,0,0,0,0,0,0,0
財務省,九州財務局,鹿児島財務事務所名瀬出張所,一般会計,普通財産,105707746,351459.69,105707746,0,0,0,0,0,0,0,0,0,0
財務省,九州財務局,宮崎財務事務所,一般会計,普通財産,70759533,160609.38,70759533,0,0,0,0,0,0,0,0,0,0
財務省,福岡財務支局,本局,一般会計,普通財産,992397353,426339.66,983723260,0,0,0,0,8674093,0,0,0,0,0
財務省,福岡財務支局,本局小倉出張所,一般会計,普通財産,986071849,2146465.61,921081399,0,0,0,0,64990450,0,0,0,0,0
財務省,福岡財務支局,佐賀財務事務所,一般会計,普通財産,344187711,222111.66,340920044,0,0,0,0,3267667,0,0,0,0,0
財務省,福岡財務支局,長崎財務事務所,一般会計,普通財産,225014642,1122112.36,225014640,0,0,0,0,2,0,0,0,0,0
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,426505497,1701924.98,426319512,182.18,182.18,1,0,185984,0,0,0,0,0
財務省,福岡財務支局,長崎財務事務所（壱岐・対馬分）,一般会計,普通財産,6743749,1016588.94,6743714,0,0,0,0,35,0,0,0,0,0
財務省,沖縄総合事務局,財務部,一般会計,普通財産,314068691,235861.39,313056175,0,0,0,1012510,6,0,0,0,0,0
財務省,沖縄総合事務局,宮古財務出張所,一般会計,普通財産,416277477,59993.01,416277477,0,0,0,0,0,0,0,0,0,0
財務省,沖縄総合事務局,八重山財務出張所,一般会計,普通財産,32243096,1797242.45,32243096,0,0,0,0,0,0,0,0,0,0
財務省,理財局,理財局,一般会計,普通財産,46690994677803,0,0,0,0,0,0,0,46690994677803,0,0,0,0
