省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
人事院,一般会計,公用財産,人事院事務総局会計課,中央合同庁舎第５号館別館,東京都千代田区霞が関１丁目７−１,東京都千代田区霞が関１−２−３,19963876894,庁舎,3673.57,18965613310,2003.1.20,所管換,市街化区域,商業地域,80,500,89,事務庁舎,2,2095.22,16352.03,857891296,0,事務庁舎,ＳＲＣ,8,2047.20,16179.87,834685608,2001.10.29,所管換,2072009,131400932,0,0,0,0,0,0,20,6899347
人事院,一般会計,公用財産,人事院事務総局会計課,公務員研修所庁舎,埼玉県入間市宮寺３１３１,埼玉県入間市宮寺３１３１,2028421710,庁舎等,39774.03,964281583,1967.2.1,所管換,市街化調整区域,都市計画用途地域指定なし,60,100,35,事務庁舎　外,11,5630.97,13935.44,938793692,0,宿泊棟,ＲＣ,4,936.14,3126.68,236479116,1999.3.25,新築,14696508,110649927,0,0,0,0,0,0,0,0
人事院,一般会計,公用財産,人事院事務総局会計課,国家公務員研修センター,東京都文京区小石川３丁目１０８−３,東京都文京区小石川３−１９−５,785258250,庁舎等,1310.97,728267432,1978.3.14,用途変更,市街化区域,準工業地域,60,300,43,事務庁舎　外,1,576.8,1704.20,50971529,0,研修施設,ＲＣ,2,576.8,1704.20,50971529,1980.3.30,新築,126019,5893270,0,0,0,0,0,0,0,0
