省庁名,部局名,局部所名,会計名,分類種類名,合計価格　（円）,土地数量計　（u）,土地価格計　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格計　（円）,立木竹価格計　（円）,工作物価格計　（円）,政府出資等価格計　（円）,不動産信託受益権価格計　（円）,機械器具価格計　（円）,地上権等数量計,地上権等価格計　（円）
財務省,中国財務局,本局,一般会計,普通財産,"1,603,518,947","1,369,716.93","1,601,582,788","2,684.29","4,985.12",1,0,"1,936,158",0,0,0,0,0
財務省,中国財務局,本局呉出張所,一般会計,普通財産,"453,569,438","1,421,178.07","453,569,428",0,0,0,0,10,0,0,0,0,0
財務省,中国財務局,山口財務事務所,一般会計,普通財産,"416,249,085","467,191.26","416,249,083",0,0,0,0,2,0,0,0,0,0
財務省,中国財務局,山口財務事務所下関出張所,一般会計,普通財産,"306,866,807","687,215.77","306,866,807",0,0,0,0,0,0,0,0,0,0
財務省,中国財務局,岡山財務事務所,一般会計,普通財産,"348,290,935","4,905,022.21","347,969,639",0,0,0,0,"321,296",0,0,0,0,0
財務省,中国財務局,岡山財務事務所倉敷出張所,一般会計,普通財産,"165,674,804","188,247.07","164,193,873",0,0,0,0,"1,480,931",0,0,0,0,0
財務省,中国財務局,鳥取財務事務所,一般会計,普通財産,"149,901,971","973,408.03","149,901,971",0,0,0,0,0,0,0,0,0,0
財務省,中国財務局,松江財務事務所,一般会計,普通財産,"38,162,669","1,464,539.10","38,162,074",0,0,0,0,595,0,0,0,0,0
財務省,四国財務局,本局,一般会計,普通財産,"231,782,747","193,253.63","231,782,747",0,0,0,0,0,0,0,0,331.67,0
財務省,四国財務局,松山財務事務所,一般会計,普通財産,"255,298,590","268,003.28","254,581,726",0,0,0,0,"716,864",0,0,0,0,0
財務省,四国財務局,徳島財務事務所,一般会計,普通財産,"86,152,814","291,731.31","85,429,473",0,0,0,0,"723,341",0,0,0,39.29,0
財務省,四国財務局,高知財務事務所,一般会計,普通財産,"493,975,069","6,875,266.81","491,206,963",0,0,0,0,"2,736,480",0,0,0,4.25,"31,626"
財務省,九州財務局,本局,一般会計,普通財産,"422,067,333","400,628.29","422,067,331",0,0,0,0,2,0,0,0,0,0
財務省,九州財務局,大分財務事務所,一般会計,普通財産,"358,000,249","639,012.54","358,000,249",0,0,0,0,0,0,0,0,0,0
財務省,九州財務局,鹿児島財務事務所,一般会計,普通財産,"95,868,069","1,140,405.27","95,868,069",0,0,0,0,0,0,0,0,0,0
財務省,九州財務局,鹿児島財務事務所名瀬出張所,一般会計,普通財産,"105,707,746","351,459.69","105,707,746",0,0,0,0,0,0,0,0,0,0
財務省,九州財務局,宮崎財務事務所,一般会計,普通財産,"70,759,533","160,609.38","70,759,533",0,0,0,0,0,0,0,0,0,0
財務省,福岡財務支局,本局,一般会計,普通財産,"992,397,353","426,339.66","983,723,260",0,0,0,0,"8,674,093",0,0,0,0,0
財務省,福岡財務支局,本局小倉出張所,一般会計,普通財産,"986,071,849","2,146,465.61","921,081,399",0,0,0,0,"64,990,450",0,0,0,0,0
財務省,福岡財務支局,佐賀財務事務所,一般会計,普通財産,"344,187,711","222,111.66","340,920,044",0,0,0,0,"3,267,667",0,0,0,0,0
財務省,福岡財務支局,長崎財務事務所,一般会計,普通財産,"225,014,642","1,122,112.36","225,014,640",0,0,0,0,2,0,0,0,0,0
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,"426,505,497","1,701,924.98","426,319,512",182.18,182.18,1,0,"185,984",0,0,0,0,0
財務省,福岡財務支局,長崎財務事務所（壱岐・対馬分）,一般会計,普通財産,"6,743,749","1,016,588.94","6,743,714",0,0,0,0,35,0,0,0,0,0
財務省,沖縄総合事務局,財務部,一般会計,普通財産,"314,068,691","235,861.39","313,056,175",0,0,0,"1,012,510",6,0,0,0,0,0
財務省,沖縄総合事務局,宮古財務出張所,一般会計,普通財産,"416,277,477","59,993.01","416,277,477",0,0,0,0,0,0,0,0,0,0
財務省,沖縄総合事務局,八重山財務出張所,一般会計,普通財産,"32,243,096","1,797,242.45","32,243,096",0,0,0,0,0,0,0,0,0,0
財務省,理財局,理財局,一般会計,普通財産,"46,690,994,677,803",0,0,0,0,0,0,0,"46,690,994,677,803",0,0,0,0
