省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
法務省,一般会計,公用財産,東京法務局,台東法務総合庁舎,東京都台東区台東１−２６,東京都台東区台東１丁目２６−２,"801,173,609",庁舎等,987.47,"694,588,372",1965.10.1,所属替,市街化区域,商業地域,80,500,47,事務庁舎,2,662.63,"2,325.41","105,189,653",0,事務庁舎,ＳＲＣ,7,659.29,"2,322.07","105,189,652",1987.3.15,新築,0,"1,395,584",0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,東京法務局,東京法務局墨田出張所,東京都墨田区菊川１−３１−５,東京都墨田区菊川１丁目１７−１３,"292,172,564",庁舎等,746.11,"231,144,878",1965.10.1,所属替,市街化区域,準工業地域,60,300,84,事務庁舎,1,480.4,"1,898.20","54,766,025",0,事務庁舎,ＲＣ,4,480.4,"1,898.20","54,766,025",2011.4.1,所属替（無償）,0,"6,261,661",0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,東京法務局,東京法務局品川出張所,東京都品川区広町２−３７７５−２,東京都品川区広町２丁目１−３６,"80,208,302",庁舎等,0,"65,258,002",1971.10.16,所管換,市街化区域,商業地域,80,500,0,事務庁舎,1,509.37,509.37,"14,950,297",0,事務庁舎,ＳＲＣ,1,509.37,509.37,"14,950,297",2011.4.1,所属替（無償）,0,3,0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,東京法務局,東京法務局世田谷出張所,東京都世田谷区若林４−２８２−３,東京都世田谷区若林４丁目３１−１８,"364,074,898",庁舎等,829.23,"335,174,766",1965.10.1,所属替,市街化区域,第二種住居地域,60,300,38,事務庁舎,1,478,964.4,"26,084,520",0,事務庁舎,ＲＣ,2,478,964.4,"26,084,520",2011.4.1,所属替（無償）,0,"2,815,612",0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,東京法務局,東京法務局目黒出張所,東京都目黒区目黒本町１−４７３−４,東京都目黒区目黒本町１丁目１６−１７,"571,831,038",庁舎等,995.07,"537,337,800",1980.8.9,所管換,市街化区域,第一種住居地域,60,300,40,事務庁舎,1,436.8,"1,204.40","32,721,383",0,事務庁舎,ＲＣ,3,436.8,"1,204.40","32,721,383",2011.4.1,所属替（無償）,0,"1,771,855",0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,東京法務局,東京法務局新宿出張所,東京都新宿区北新宿１−３５３−４７,東京都新宿区北新宿１丁目８−２２,"2,363,556,393",庁舎等,"1,771.61","2,285,759,567",1981.10.7,所管換,市街化区域,商業地域,80,600,19,事務庁舎,1,534.7,"2,060.22","67,407,529",0,事務庁舎,ＲＣ,4,534.7,"2,060.22","67,407,529",2011.4.1,所属替（無償）,0,"10,389,297",0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,東京法務局,東京法務局中野出張所,東京都中野区野方１−１６５２−４,東京都中野区野方１丁目３４−１,"1,154,295,251",庁舎等,"1,719.25","843,635,975",1965.10.1,所属替,市街化区域,近隣商業地域,80,400,68,事務庁舎,1,"1,024.30","4,740.46","275,205,086",0,事務庁舎,ＲＣ,5,"1,024.30","4,740.46","275,205,086",2011.4.1,所属替（無償）,"1,515,347","33,938,843",0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,東京法務局,東京法務局杉並出張所,東京都杉並区今川２−１０３−１,東京都杉並区今川２丁目１−３,"580,575,686",庁舎等,"1,323.42","426,162,414",1969.12.19,交換,市街化区域,第二種中高層住居専用地域,60,200,60,事務庁舎,3,621.38,"1,596.84","120,665,347",0,事務庁舎,Ｓ,3,588.65,"1,564.11","119,443,161",2011.4.1,所属替（無償）,"1,649,426","32,098,499",0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,東京法務局,東京法務局板橋出張所,東京都板橋区板橋１−４４−５,東京都板橋区板橋１丁目４４−６,"684,552,731",庁舎等,"1,210.24","545,605,237",1980.3.6,所管換,市街化区域,商業地域,80,600,50,事務庁舎,2,703.02,"3,668.22","131,148,885",0,事務庁舎,ＲＣ,5,694.22,"3,659.42","131,148,884",2011.4.1,所属替（無償）,0,"7,798,609",0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,東京法務局,東京法務局北出張所,東京都北区王子６−７−２５,東京都北区王子６丁目２−６６,"565,119,090",庁舎等,"1,618.29","528,209,856",1965.10.1,所属替,市街化区域,第一種中高層住居専用地域,60,150,49,事務庁舎,2,611.8,"1,206.16","34,444,908",0,事務庁舎,ＲＣ,2,594.36,"1,188.72","34,444,907",2011.4.1,所属替（無償）,0,"2,464,326",0,0,0,0,0,0,0,0
