省庁名,部局名,部局所名,会計名,分類種類名,根拠法令,用途施設名称,所在地,貸付相手方,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,北郷公園敷地（地区）,北海道札幌市白石区北郷８条９丁目２４４４番１,札幌市,"55,399","47,786.67","55,399",0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,40,80
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,豊平公園敷地（地区）,北海道札幌市豊平区豊平５条１３丁目３外,札幌市,"645,259,710","36,829.64","644,600,075",0,0,0,"659,635",0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国家公務員共済組合法 第３６条,宿舎敷地,北海道札幌市,国家公務員共済組合連合会,"483,681,267","10,354.04","483,681,267",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国家公務員共済組合法 第３６条,宿舎敷地,北海道札幌市,国家公務員共済組合連合会,"303,579,666","6,849.93","303,579,666",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,豊中公園敷地,北海道札幌市豊平区中の島２条１丁目５番３外,札幌市,"273,510,373","4,814.33","273,510,373",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第２条第２項第２号,美園保育園敷地,北海道札幌市豊平区美園５条７丁目１５−１,札幌市,"113,797,454","1,424.65","113,797,454",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,月寒公園敷地,北海道札幌市豊平区美園１０条７丁目３１番外,札幌市,"94,983,926","149,628.20","94,983,926",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,警察法 附則第１２項,住宅敷地,北海道札幌市豊平区,北海道,"48,387,726",608.7,"48,387,726",0,0,0,0,0,0,市街化区域,近隣商業地域,80,300
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,平和公園敷地（近隣）,北海道札幌市豊平区月寒西２条７丁目,札幌市,"5,375,910","12,069.33","5,276,271",0,0,0,"99,637",2,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第２条第２項第２号,札幌市豊平区保育・子育て支援センター敷地,北海道札幌市豊平区月寒東１条４丁目５６７−１のうち,札幌市,"129,824,835","2,016.78","129,824,835",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第２条第１項,西岡高台配水池敷地,北海道札幌市豊平区西岡４条８丁目３１１−１,札幌市,"54,366","6,424.63","54,366",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,西岡公園敷地（総合）,北海道札幌市豊平区西岡,札幌市,"5,986,095","296,377.29","2,508,163",0,0,0,"3,477,932",0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,月寒さくらんぼ公園（街区）,北海道札幌市豊平区月寒西５条７丁目６２１−２、−３,札幌市,"82,411,628","1,548.19","82,411,628",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,天神山緑地（都市公園）,北海道札幌市豊平区平岸２条１６丁目１７７番３,札幌市,"9,481,021","1,109.52","9,481,021",0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,40,60
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,藻岩下公園敷地（近隣）,北海道札幌市南区南３０条西８丁目５１０−１,札幌市,"23,215,643","15,272.32","23,215,643",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,南こども公園敷地（街区）,北海道札幌市南区南３３条西８丁目４６４先,札幌市,"9,073,898","5,969.23","9,073,898",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,南３５条みゆき公園敷地,北海道札幌市南区南３５条西１０丁目３８３−２,札幌市,"98,226,568","2,182.84","98,226,568",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,川沿公園,北海道札幌市南区川沿１４条１丁目４７７−２０先,札幌市,"18,822","8,908.26","18,822",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国家公務員共済組合法 第３６条,宿舎敷地,北海道札幌市,国家公務員共済組合連合会,"186,758,658","10,355.40","186,758,658",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
