省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
財務省,一般会計,公用財産,財務省大臣官房会計課,十条公務員宿舎,東京都北区十条台２−１８９６,東京都北区十条台２丁目４,"3,378,018,972",宿舎,"12,494.36","3,353,923,526",1958.12.11,所管換,市街化区域,第一種住居地域,60,300,20,宿舎,13,"1,989.37","7,756.20","21,622,670",154,宿舎,ＲＣ,4,277.22,"1,108.89",1,1960.11.10,新築,"1,980,047","492,729",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,弦巻公務員宿舎,東京都世田谷区弦巻５−６６０−４・弦巻５−６０７−９,東京都世田谷区弦巻５丁目３３−８,"789,808,369",宿舎,"1,884.81","728,290,584",1972.8.10,交換,市街化区域,第一種中高層住居専用地域,60,200,38,宿舎,1,550.91,"1,467.71","57,517,231",37,宿舎,ＳＲＣ,3,550.91,"1,467.71","57,517,231",1973.3.30,新築,"92,469","3,908,085",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,高井戸公務員宿舎,東京都杉並区高井戸東４−１９０４−７７外１筆,東京都杉並区高井戸東４丁目５−６,"469,806,328",宿舎,"1,273.89","441,723,905",1975.7.23,所属替,市街化区域,準住居地域,60,300,20,宿舎,1,301.14,792.64,"27,048,364",17,宿舎,ＳＲＣ,3,301.14,792.64,"27,048,364",1975.10.31,新築,"102,149","931,910",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,太子堂公務員宿舎,東京都世田谷区太子堂１−１−８６,東京都世田谷区太子堂１丁目１３−１５,"589,797,911",宿舎,"1,254.61","537,700,754",1984.4.25,所属替,市街化区域,第一種住居地域,60,200,55,宿舎,1,432.42,"1,388.17","39,425,822",51,宿舎,ＲＣ,4,432.42,"1,388.17","39,425,822",1985.1.31,所属替,"787,811","11,883,524",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,下落合公務員宿舎,東京都新宿区下落合３−３６７−１０,東京都新宿区下落合３丁目６−８,"584,038,804",宿舎,"1,005.68","552,383,819",1985.7.15,所管換,市街化区域,第一種低層住居専用地域,60,150,76,宿舎,1,465.23,"1,161.03","29,215,531",41,宿舎,ＲＣ,3,465.23,"1,161.03","29,215,531",1986.3.31,新築,"1,035,240","1,404,214",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,石神井公園公務員宿舎,東京都練馬区上石神井３−７９−７４,東京都練馬区上石神井３丁目２−３７,"224,197,599",宿舎,"1,408.40","164,417,628",1992.3.25,所管換,市街化区域,第一種低層住居専用地域,50,100,87,宿舎,1,456.33,"1,225.57","57,652,952",54,宿舎,ＳＲＣ,3,456.33,"1,225.57","57,652,952",1993.3.30,新築,"454,665","1,672,354",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,西早稲田公務員宿舎,東京都新宿区西早稲田２−５１−３,東京都新宿区西早稲田２丁目１９−１４,"363,633,883",宿舎,734.42,"331,370,305",1995.3.31,所管換,市街化区域,第一種中高層住居専用地域,60,300,28,宿舎,1,246.48,638.84,"31,811,122",22,宿舎,ＲＣ,3,246.48,638.84,"31,811,122",1996.3.15,新築,"186,542","265,914",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,北海道財務局,札幌第１合同庁舎,北海道札幌市北区北８条西２丁目,北海道札幌市北区北８条西２丁目１−１,"9,414,430,242",庁舎等,"11,649.91","6,358,544,177",1986.6.28,所管換,市街化区域,商業地域,80,700,65,事務庁舎,5,"3,971.76","53,133.62","2,853,764,371",0,事務庁舎,ＳＲＣ,18,"3,690.66","52,852.52","2,780,255,296",1989.7.1,所管換,"19,257,372","182,864,322",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,北海道財務局,函館地方合同庁舎,北海道函館市新川町２７,北海道函館市新川町２５−１８,"559,457,095",庁舎等,"6,427.10","250,836,859",1978.8.21,所管換,市街化区域,商業地域,80,400,35,事務庁舎,2,"1,714.17","9,179.16","299,882,160",0,事務庁舎,ＳＲＣ,7,965.48,"8,430.47","283,578,689",1980.3.24,新築,"2,034,004","6,704,072",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,北海道財務局,函館地方合同庁舎（２）,北海道函館市新川町２６,北海道函館市新川町２６−６,"188,707,488",庁舎等,"3,311.95","129,258,784",2004.3.31,所属替,市街化区域,近隣商業地域,80,300,20,事務庁舎,1,"1,007.19","2,054.67","55,258,920",0,事務庁舎,ＲＣ,2,"1,007.19","2,054.67","55,258,920",2004.3.31,所属替,"169,011","4,020,773",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,北海道財務局,小樽地方合同庁舎,北海道小樽市港町２６−２外,北海道小樽市港町５−２,"2,656,250,832",庁舎等,"7,500.00","76,500,000",2011.3.31,所管換（無償）,市街化区域,準工業地域,60,200,89,事務庁舎,5,"3,395.61","13,401.09","1,881,775,452",0,事務庁舎,ＳＲＣ,6,"2,304.23","11,827.77","1,672,047,238",2010.3.31,所管換,"933,289","697,042,091",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,北海道財務局,旭川地方合同庁舎,北海道旭川市宮前一条三丁目１１外２筆,北海道旭川市宮前１−３,"4,216,420,526",庁舎等,"15,973.86","335,451,060",2014.11.10,換地,市街化区域,準住居地域,60,200,75,事務庁舎,3,"3,829.10","24,174.36","3,042,224,121",0,事務庁舎,ＳＲＣ,6,"3,811.50","24,156.76","3,036,836,456",2008.8.7,所管換,"20,507,495","818,237,850",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,北海道財務局,帯広財務事務所庁舎,北海道帯広市西５条南６丁目,北海道帯広市西５条南６丁目,"92,687,457",庁舎等,"2,095.60","67,798,946",1966.6.11,所管換,市街化区域,近隣商業地域,80,400,8,事務庁舎,3,414.51,745.39,"19,051,101",0,事務庁舎,ＲＣ,2,358.54,689.42,"18,429,669",1964.12.21,新築,0,"5,837,410",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,北海道財務局,帯広第２地方合同庁舎,北海道帯広市西４条南８丁目１外,北海道帯広市西４条南８丁目１,"654,537,939",庁舎等,"11,922.79","496,178,828",2015.3.25,所管換（無償）,市街化区域,商業地域,80,400,1,事務庁舎　外,1,784.22,784.22,"123,085,167",0,帯広第２合同庁舎車庫,ＳＲＣ,1,784.22,784.22,"123,085,167",2016.3.31,所管換（無償）,0,"35,273,944",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,北海道財務局,釧路地方合同庁舎,北海道釧路市幸町１０丁目３外,北海道釧路市幸町１０丁目３,"4,588,282,750",庁舎等,"13,845.92","427,562,009",1997.3.25,所管換,市街化区域,近隣商業地域,80,300,61,事務庁舎,4,"4,513.52","25,351.19","3,715,758,423",0,事務庁舎,ＳＲＣ,9,"4,477.62","25,315.29","3,711,490,243",2000.9.1,新築,"8,760,208","436,202,110",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,東北財務局,仙台合同庁舎,宮城県仙台市青葉区本町３−３−１,宮城県仙台市青葉区本町３丁目３−１,"16,546,951,936",庁舎等,"13,892.97","3,278,032,378",1965.1.8,所管換,市街化区域,商業地域,80,500,93,事務庁舎　外,6,"6,314.95","65,078.47","8,207,270,624",0,事務庁舎,ＳＲＣ,9,"2,896.11","27,735.51","478,253,827",1966.3.31,新築,"4,451,993","5,057,196,941",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,東北財務局,盛岡合同庁舎,岩手県盛岡市内丸９,岩手県盛岡市内丸７−２５,"706,371,582",庁舎等,"3,581.03","451,746,934",1962.2.1,所管換,市街化区域,商業地域,80,600,13,事務庁舎　外,4,813.77,"2,879.73","191,680,800",0,事務庁舎,ＲＣ,5,519.29,"2,585.25","191,166,541",1972.7.10,新築,"225,909","62,717,939",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,東北財務局,福島財務事務所庁舎,福島県福島市松木町９,福島県福島市松木町１３−２,"88,843,209",庁舎等,"1,370.11","66,606,527",1949.6.1,所属替,市街化区域,商業地域,80,400,16,事務庁舎　外,4,493.12,886.79,"19,559,080",0,事務庁舎,ＲＣ,2,400.84,770.51,"19,267,013",1966.2.7,新築,"603,882","2,073,720",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,東北財務局,秋田第二合同庁舎,秋田県秋田市山王７−３−２他,秋田県秋田市山王７丁目１−４,"642,257,645",庁舎等,"9,004.61","370,305,581",1988.7.15,所管換,市街化区域,商業地域,80,400,13,事務庁舎　外,4,"1,212.30","4,824.70","261,635,577",0,事務庁舎,ＲＣ,5,796.78,"4,409.18","245,343,341",1989.9.5,新築,"2,108,313","8,208,174",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,東北財務局,青森合同庁舎,青森県青森市新町２−４−６,青森県青森市新町２丁目４−２５,"653,409,644",庁舎等,"3,891.77","228,345,712",1984.6.14,所管換,市街化区域,商業地域,80,600,25,事務庁舎　外,3,"1,388.74","6,026.34","378,358,660",0,事務庁舎,ＳＲＣ,8,654.94,"5,292.54","352,869,154",1984.8.30,新築,"1,004,993","45,700,279",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,東北財務局,山形財務事務所庁舎,山形県山形市緑町２−９−１,山形県山形市緑町２丁目１５−３,"142,536,602",庁舎等,"2,027.68","97,190,757",1975.10.24,所管換,市街化区域,第二種中高層住居専用地域,60,200,25,事務庁舎　外,4,557.63,"1,045.26","29,680,070",0,事務庁舎,ＲＣ,2,479.53,967.16,"29,680,067",1976.7.15,新築,"178,637","15,487,138",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,関東財務局,湯島地方合同庁舎,東京都文京区湯島４−１−１外,東京都文京区湯島４−６−１５,"10,217,422,099",庁舎等,"12,498.40","9,832,841,235",2001.1.31,所管換,市街化区域,第二種住居地域,60,300,24,事務庁舎　外,8,"2,940.29","9,157.96","316,166,766",0,庁舎,ＲＣ,5,"1,144.00","5,797.85","158,494,648",2001.1.31,所管換,"4,609,633","63,804,465",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,関東財務局,立川地方合同庁舎,東京都立川市緑町４−２外１筆のうち,東京都立川市緑町４−２,"9,547,832,248",庁舎,"10,011.30","5,021,668,080",2009.5.29,所管換 外,市街化区域,商業地域,80,500,48,事務庁舎,2,"5,657.78","24,111.14","3,099,233,319",0,庁舎,Ｓ,7,"3,629.98","18,027.74","2,839,120,446",2013.11.5,所管換（無償）,"6,618,161","1,420,312,688",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,関東財務局,西ヶ丘宿舎,東京都北区西が丘３−１４４２−２２,東京都北区西が丘３丁目１１−１,"619,136,414",宿舎,"3,158.36","587,454,960",1971.2.23,所管換,市街化区域,第二種住居地域,60,200,27,宿舎,7,517.67,"1,744.39","29,511,313",81,宿舎,ＲＣ,5,216.5,829.86,"15,665,574",1972.3.31,新築,"278,137","1,892,004",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,関東財務局,横浜第２合同庁舎,神奈川県横浜市中区北仲通５−５７,神奈川県横浜市中区北仲通５丁目５７,"14,436,805,109",庁舎等,"14,782.53","7,910,758,581",2014.1.24,換地,市街化区域,商業地域,80,400,121,事務庁舎　外,1,"4,677.13","72,127.85","6,156,488,622",0,庁舎,ＳＲＣ,23,"4,677.13","72,127.85","6,156,488,622",1993.7.1,所管換,"5,777,030","363,780,876",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,関東財務局,横須賀地方合同庁舎,神奈川県横須賀市新港町１−８外１筆,神奈川県横須賀市新港町１−８,"2,705,599,004",庁舎等,"6,000.00","378,000,000",2010.6.28,所属替 外,市街化区域,準工業地域,60,200,81,事務庁舎,2,"1,844.81","9,830.94","1,603,894,794",0,庁舎,ＲＣ,7,"1,481.89","9,468.02","1,549,615,969",2013.3.28,所管換（無償）,"2,687,211","721,016,999",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,関東財務局,千葉財務事務所,千葉県千葉市中央区椿森５−１２３−２外,千葉県千葉市中央区椿森５丁目６−１,"519,400,082",庁舎等,"5,937.02","427,465,440",1952.1.31,所管換,市街化区域,第一種中高層住居専用地域,60,200,17,事務庁舎　外,10,"1,087.80","2,020.03","65,353,157",0,庁舎,ＲＣ,2,587.08,"1,341.28","53,902,168",1966.5.24,新築,"240,961","26,340,524",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,関東財務局,甲府合同庁舎,山梨県甲府市丸の内１−１−１８,山梨県甲府市丸の内１丁目１−１８,"4,050,209,200",庁舎等,"5,795.14","301,265,592",2009.3.25,所属替,市街化区域,商業地域,80,600,52,事務庁舎,2,"2,547.56","18,424.32","2,706,047,257",0,庁舎,ＲＣ,10,"1,422.34","13,856.92","2,193,296,372",2012.1.31,所管換（無償）,"2,755,281","1,040,141,070",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,関東財務局,さいたま新都心合同庁舎１号館,埼玉県さいたま市中央区新都心１−１,埼玉県さいたま市中央区新都心１−１,"34,661,024,920",庁舎等,"20,012.99","12,936,396,736",2000.1.31,所管換,市街化区域,商業地域,80,600,103,事務庁舎　外,1,"10,074.40","123,902.48","19,013,655,264",0,庁舎,ＳＲＣ,31,"10,074.40","123,902.48","19,013,655,264",2000.1.31,所管換 外,"73,657,577","2,637,315,343",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,関東財務局,水戸財務事務所,茨城県水戸市北見町１２０外,茨城県水戸市北見町１−４,"314,298,866",庁舎等,"6,304.82","230,756,412",1969.5.12,所管換,市街化区域,第二種住居地域,60,200,9,事務庁舎　外,6,683.03,"1,224.33","64,034,594",0,庁舎,ＲＣ,2,506.3,"1,012.60","59,337,664",1969.3.19,新築,"708,277","18,799,583",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,関東財務局,宇都宮財務事務所,栃木県宇都宮市桜３−２７８２−１,栃木県宇都宮市桜３丁目１−１０,"347,867,240",庁舎等,"2,721.20","277,567,842",1953.1.20,所管換,市街化区域,商業地域,80,400,11,事務庁舎　外,6,763.22,"1,304.08","44,556,871",0,庁舎,ＲＣ,2,540.86,"1,081.72","38,559,218",1969.3.12,新築,"101,852","25,640,675",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,関東財務局,長野第２合同庁舎,長野県長野市大字長野字盲塚１１０８−６ほか,長野県長野市旭町１１０８,"753,106,736",庁舎等,"6,113.77","231,100,506",1990.5.7,所管換,市街化区域,第二種住居地域,60,200,80,事務庁舎　外,3,"1,650.51","9,866.30","508,338,860",0,庁舎,ＳＲＣ,5,"1,588.05","9,803.84","508,267,014",1990.3.15,新築,"1,882,447","11,784,923",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,関東財務局,新潟美咲合同庁舎２号館,新潟県新潟市中央区美咲町１−６６４−４４４のうち,新潟県新潟市中央区美咲町１丁目２−１,"5,094,325,195",庁舎等,"15,931.38","535,294,368",2012.3.29,所属替（無償）,市街化区域,工業地域,60,200,66,事務庁舎,5,"3,162.09","21,337.51","3,043,236,615",0,庁舎,ＲＣ,10,"2,162.15","20,436.46","2,865,658,564",2012.3.29,新築,"2,858,788","1,512,935,424",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,関東財務局,前橋地方合同庁舎,群馬県前橋市大手町２−３−１,群馬県前橋市大手町２−３−１,"5,403,826,001",庁舎,"5,472.89","518,474,234",2012.12.3,所管換（無償） 外,市街化区域,商業地域,80,600,50,事務庁舎,1,"1,920.73","16,542.88","3,108,173,283",0,庁舎,Ｓ,11,"1,920.73","16,542.88","3,108,173,283",2015.6.10,所管換（無償）,"2,540,160","1,774,638,324",0,0,0,0,0,0,0,0
