省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
経済産業省,一般会計,公用財産,近畿経済産業局,寝屋川公務員宿舎,大阪府寝屋川市成田町７１４—１,大阪府寝屋川市成田町８−１１,"122,956,084",宿舎,"1,129.15","85,465,363",2001.4.1,所属替,市街化区域,第一種中高層住居専用地域,60,150,29,宿舎,1,256.22,497.69,"31,694,239",0,宿舎,ＲＣ,2,256.22,497.69,"31,694,239",2001.4.1,所属替,0,"5,796,482",0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,中国経済産業局,（中国経済産業局）,広島県広島市中区上八丁堀６番ほか,広島県広島市中区上八丁堀６−３０,"1,092,760",,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,"1,092,760",0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,四国経済産業局,昭和町宿舎,香川県高松市昭和町２—１０—１８,香川県高松市昭和町２丁目１０−１８,"60,977,206",宿舎,423.58,"35,011,428",2001.4.1,所属替,市街化区域,第一種中高層住居専用地域,60,200,46,宿舎,3,150.25,395.53,"25,838,225",6,宿舎,ＲＣ,3,122.64,367.92,"25,462,392",2001.4.1,所属替,0,"127,553",0,0,0,0,0,0,0,0
経済産業省,エネルギー対策特別会計（エネルギー需給勘定）,公用財産,資源エネルギー庁,資源エネルギー庁,東京都千代田区霞が関一丁目３番１号,東京都千代田区霞が関一丁目３番１号,"5,765,991,038",,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,0,28,"5,765,991,038",0,0,0,0,0,0
経済産業省,エネルギー対策特別会計（エネルギー需給勘定）,公用財産,資源エネルギー庁,苫小牧東部国家石油備蓄基地,北海道苫小牧市字静川３０８番地,北海道苫小牧市字静川３０８,"12,696,035,861",庁舎等,"2,741,533.37","7,513,534,816",2007.4.1,所属替,市街化調整区域,工業専用地域,60,200,0,事務庁舎　外,41,"10,085.49","11,556.07","1,045,265,441",0,本館事務所,ＲＣ,2,"1,268.87","2,625.33","275,819,849",2007.4.1,所属替,0,"4,137,235,604",0,0,0,0,"1,457.68",0,0,0
経済産業省,エネルギー対策特別会計（エネルギー需給勘定）,公用財産,資源エネルギー庁,むつ小川原国家石油備蓄基地,青森県上北郡六ケ所村大字尾駮字二又５２５番２,青森県上北郡六ケ所村大字尾鮫字二又５２５−２,"14,062,035,841",庁舎等,"2,675,926.66","5,827,454,342",2007.4.1,所属替,市街化区域,工業専用地域,40,200,0,事務庁舎　外,49,"14,119.39","20,598.04","1,956,364,857",0,本事務所,ＲＣ,4,"1,723.78","4,945.00","565,052,218",2007.4.1,所属替,"21,524,189","6,256,692,453",0,0,0,0,0,0,0,0
経済産業省,エネルギー対策特別会計（エネルギー需給勘定）,公用財産,資源エネルギー庁,むつ小川原国家石油備蓄基地作業船管理場,青森県上北郡六ケ所村大字鷹架字発茶沢１３３番地５０,青森県上北郡六ケ所村大字鷹架字発茶沢１３３−５０,"442,323,946",庁舎等,"9,373.16","68,325",2007.4.1,所属替,市街化区域,工業専用地域,40,200,9,事務庁舎　外,5,"1,667.14","1,780.58","83,963,386",0,管理事務所,Ｓ,2,"1,339.30","1,394.83","45,133,546",2007.4.1,所属替,0,"358,292,235",0,0,0,0,0,0,0,0
経済産業省,エネルギー対策特別会計（エネルギー需給勘定）,公用財産,資源エネルギー庁,むつ小川原国家石油備蓄基地平沼住宅,青森県上北郡六ケ所村大字平沼字二階坂２２０番地１,青森県上北郡六ケ所村大字平沼字二階坂２２０−１,"482,892,337",庁舎等,"11,836.01","31,741,784",2007.4.1,所属替,市街化区域,準工業地域,60,200,29,事務庁舎　外,8,"2,550.15","7,098.50","425,004,414",0,研修所,ＲＣ,3,"1,163.86","2,848.77","194,463,446",2007.4.1,所属替,"1,029,696","25,116,443",0,0,0,0,0,0,0,0
経済産業省,エネルギー対策特別会計（エネルギー需給勘定）,公用財産,資源エネルギー庁,久慈国家石油備蓄基地,岩手県久慈市夏井町字閉伊口第８地割１０５番地２,岩手県久慈市夏井町字閉伊口第８地割１０５−２,"24,273,035,408",庁舎等,"69,709.72","350,355,801",2007.4.1,所属替,非線引,都市計画用途地域指定なし,70,200,3,事務庁舎　外,17,"3,471.84","4,835.44","746,983,428",0,総合管理事務所,ＲＣ,3,"1,091.73","2,429.43","256,906,963",2007.4.1,所属替,0,"23,175,696,179",0,0,0,0,0,0,0,0
経済産業省,エネルギー対策特別会計（エネルギー需給勘定）,公用財産,資源エネルギー庁,久慈国家石油備蓄基地西坑口,岩手県久慈市夏井町字鳥谷第５地割８１番１,岩手県久慈市夏井町字鳥谷第５地割８１−１,"7,645,668",庁舎等,"1,897.07","7,645,668",2007.4.1,所属替,都市計画区域外,都市計画用途地域指定なし,,,,,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0
