省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,不動産の信託受益権価格　（円）,地上権等数量,地上権等価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,東北財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,宮城県仙台市青葉区本町２−９−１２,"144,493,594",719.06,"144,459,154",0,0,0,0,"34,440",0,0,0,市街化区域,商業地域,80,500
財務省,東北財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,宮城県仙台市青葉区角五郎２丁目２３５番３,"343,461,717","6,202.29","342,366,408",0,0,0,"1,095,304",5,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,東北財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,宮城県仙台市青葉区大手町２０７,"310,473,703","3,325.46","299,291,400",0,0,0,"335,664","10,846,639",0,0,0,市街化区域,第二種住居地域,60,200
財務省,東北財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,宮城県仙台市青葉区大手町２０６番,"209,360,069","2,215.87","199,428,300",0,0,0,"38,416","9,893,353",0,0,0,市街化区域,第二種住居地域,60,200
財務省,東北財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,宮城県仙台市太白区太子堂１−６,"108,795,206","1,709.77","108,795,206",0,0,0,0,0,0,0,0,市街化区域,工業地域,60,200
財務省,東北財務局,福島財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,福島県郡山市希望ヶ丘１１２番２,"12,636,471",817.07,"12,382,339",0,0,0,0,"254,132",0,0,0,市街化区域,第一種住居地域,60,200
財務省,東北財務局,福島財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,福島県福島市南沢又字古舘４５番２ほか,"13,300,001","3,373.02","13,300,000",0,0,0,1,0,0,0,0,市街化調整区域,,70,400
財務省,東北財務局,青森財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,青森県八戸市築港街２−１６−３,"10,424,260",627.17,"10,182,733",0,0,0,0,"241,527",0,0,0,市街化区域,工業地域,60,200
財務省,東北財務局,青森財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,青森県西津軽郡鰺ケ沢町大字本町１１２−１,"3,731,320",298.25,"3,731,320",0,0,0,0,0,0,0,0,非線引,準工業地域,60,200
財務省,東北財務局,青森財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,青森県青森市大字筒井字八ツ橋２２６−５１,"14,479,983",444.99,"10,252,569",120.12,120.12,"4,094,851",0,"132,563",0,0,0,市街化区域,第一種低層住居専用地域,60,150
