省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,貸付相手方,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,深谷通信所跡,神奈川県横浜市戸塚区和泉町,南関東防衛局,"2,836,450,033","773,746.58","2,718,782,994","4,828.25","5,155.14","100,321,497","274,103","17,071,439",0,市街化調整区域,都市計画用途地域指定なし,50,80
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,上瀬谷通信施設跡,神奈川県横浜市瀬谷区瀬谷町７１２６−３,南関東防衛局,"37,661,199,319","1,095,099.00","37,045,857,019","20,770.57","23,327.10","490,405,551","13,945,147","110,991,602",0,市街化調整区域,都市計画用途地域指定なし,50,80
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,宿舎,神奈川県平塚市,南関東防衛局,"426,042,900","4,733.81","426,042,900",0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,宿舎,神奈川県相模原市中央区向陽町３４７９−５のうち,南関東防衛局,"402,915,870","4,974.27","402,915,870",0,0,0,0,0,0,市街化区域,第二種住居地域,60,200
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,FAC3079キャンプ座間,神奈川県相模原市南区磯部雨沼外,南関東防衛局,"1,017,786,870","17,865.94","1,017,786,870",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,50,80
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,FAC3084相模総合補給廠,神奈川県相模原市中央区上矢部３３３３−１外,南関東防衛局,"9,673,467,052","150,057.66","9,673,467,052",0,0,0,0,0,0,市街化区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,飛行場施設,神奈川県大和市福田字丙六ノ区５０５２外,横浜防衛施設局,"25,745,132,341","488,680.00","25,723,626,523","1,767.02","1,767.02","21,505,812",0,6,0,市街化調整区域,都市計画用途地域指定なし,50,100
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,飛行場施設,神奈川県綾瀬市蓼川字中ノ原,南関東防衛局,"108,976,160,839","2,070,255.15","108,976,160,839",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,50,100
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,海上自衛隊施設敷地,神奈川県横須賀市鴨居４−１１２７外,南関東防衛局,"63,158,568","63,676.82","63,158,565",28.13,28.13,2,0,1,0,市街化調整区域,,,
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,東京湾海上交通センターへの通路,神奈川県横須賀市鴨居４−１１２７外,第三管区海上保安本部,"471,054",474.92,"471,053",0,0,0,0,1,0,市街化調整区域,,,
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市,南関東防衛局,"477,928,039","10,082.87","477,928,038",0,0,0,0,1,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市,南関東防衛局,"52,007,216",748.09,"52,007,216",0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市,南関東防衛局,"144,015,122","1,678.33","144,015,122",0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市,南関東防衛局,"300,605,106","2,830.37","300,605,106",0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,海上自衛隊横須賀地方総監部逸見庁舎敷地,神奈川県横須賀市西逸見町１丁目１０１−２のうち外,南関東防衛局,"417,873,479","4,376.37","417,873,479",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市久里浜１丁目,南関東防衛局,"166,826,763","2,130.61","166,826,763",0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市久里浜６丁目,南関東防衛局,"325,550,959","4,106.04","325,550,959",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市武３丁目,南関東防衛局,"364,349,776","7,384.48","364,349,776",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,宿舎,神奈川県横須賀市久比里２丁目,南関東防衛局,"227,981,169","12,638.18","227,981,169",0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県千葉市稲毛区小深町９０−７７のうち,北関東防衛局,"29,994,299",925.75,"29,994,299",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県千葉市稲毛区小深町９０−７７のうち,北関東防衛局,"61,286,546","1,891.56","61,286,546",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県木更津市高砂１丁目３０５１番１外１筆のうち,北関東防衛局,"21,672,288","1,505.02","21,672,288",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県木更津市,北関東防衛局,"34,734,582","2,144.11","34,734,582",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県木更津市高砂１丁目,北関東防衛局,"43,956,756","2,713.38","43,956,756",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県木更津市高砂１丁目３０４８−３外,北関東防衛局,"34,256,844","2,114.62","34,256,844",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県木更津市長須賀字境目１６２０番２のうち,北関東防衛局,"36,977,271","1,999.09","36,977,271",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,木更津飛行場,千葉県木更津市吾妻,北関東防衛局,"54,853,849",0,0,0,0,0,0,"54,853,849",0,,,,
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県鴨川市広場字松崎８２０−２１のうち外,北関東防衛局,"50,262,022","1,750.68","50,262,022",0,0,0,0,0,0,都市計画区域外,都市計画用途地域指定なし,70,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県八街市八街字九十九路に１５９番２１外４筆のうち,関東農政局,"22,524,988","1,155.90","22,524,988",0,0,0,0,0,0,非線引,第二種中高層住居専用地域,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県柏市,北関東防衛局,"134,301,255","6,197.28","134,301,255",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県柏市,北関東防衛局,"49,420,282","2,280.48","49,420,282",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,宿舎,千葉県柏市,北関東防衛局,"96,907,294","4,471.75","96,907,294",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,進入路及び水道管埋設敷地,千葉県松戸市松飛台字御立場４５−１のうち,北関東防衛局,"147,086,367","1,804.31","123,983,070",0,0,0,0,"23,103,297",0,市街化調整区域,都市計画用途地域指定なし,50,100
財務省,関東財務局,本局,一般会計,普通財産,宿舎,埼玉県熊谷市拾六間８３９,北関東防衛局,"574,937,383","15,925.79","574,937,383",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,関東財務局,本局,一般会計,普通財産,宿舎,埼玉県和光市,北関東防衛局,"1,150,114,140","14,198.94","1,150,114,140",0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
