省庁名,部局所名,会計名,分類種類名,法人名,所在地,勘定名１,政府出資現在額１　（円）,勘定名２,政府出資現在額２　（円）,勘定名３,政府出資現在額３　（円）,勘定名４,政府出資現在額４　（円）,勘定名５,政府出資現在額５　（円）,勘定名６,政府出資現在額６　（円）,合計額　（円）,注釈
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,独立行政法人　奄美群島振興開発基金,東京都千代田区霞が関３−１−１,,"5,666,767,406",,,,,,,,,,,"5,666,767,406","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は7,249,028,647円である。"
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,国立研究開発法人　医薬基盤・健康・栄養研究所,東京都千代田区霞が関３−１−１,承継勘定,"3,205,447,301",特例業務勘定,"319,297,184",,,,,,,,,"3,524,744,485","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は19,797,679,845円である。"
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,独立行政法人　住宅金融支援機構,東京都千代田区霞が関３−１−１,証券化支援勘定,"122,771,489,425",,,,,,,,,,,"122,771,489,425","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は1,314,529,252,093円である。"
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,株式会社　民間資金等活用事業推進機構,東京都千代田区霞が関３−１−１,,"9,472,571,737",,,,,,,,,,,"9,472,571,737",
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,株式会社　海外需要開拓支援機構,東京都千代田区霞が関３−１−１,,"38,271,957,844",,,,,,,,,,,"38,271,957,844",
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,株式会社　海外交通・都市開発事業支援機構,東京都千代田区霞が関３−１−１,,"13,991,548,660",,,,,,,,,,,"13,991,548,660",
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,株式会社　海外通信・放送・郵便事業支援機構,東京都千代田区霞が関３−１−１,,"1,780,709,007",,,,,,,,,,,"1,780,709,007",
財務省,財務省理財局（国債企画課）,国債整理基金特別会計,普通財産,東京地下鉄株式会社,東京都千代田区霞が関３−１−１,,"271,739,864,765",,,,,,,,,,,"271,739,864,765",
財務省,財務省理財局（国債企画課）,国債整理基金特別会計,普通財産,日本郵政株式会社,東京都千代田区霞が関３−１−１,,"3,007,151,646,600",,,,,,,,,,,"3,007,151,646,600","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は5,440,391,646,600円である。"
財務省,国際局,外国為替資金特別会計,普通財産,国際通貨基金,東京都千代田区霞が関３−１−１,,"5,243,079,616,037",,,,,,,,,,,"5,243,079,616,037",
文部科学省,文部科学本省,東日本大震災復興特別会計,普通財産,日本私立学校振興・共済事業団,東京都千代田区霞が関３−２−２,助成勘定,"6,069,091,573",,,,,,,,,,,"6,069,091,573","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は117,529,562,108円である。"
文部科学省,文部科学省研究開発局,エネルギー対策特別会計,普通財産,国立研究開発法人　日本原子力研究開発機構,東京都千代田区霞が関３−２−２,電源利用勘定,"259,672,538,413",,,,,,,,,,,"259,672,538,413","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は521,335,741,469円である。"
厚生労働省,厚生労働省大臣官房会計課,東日本大震災復興特別会計,普通財産,株式会社　日本政策金融公庫,東京都千代田区霞が関１−２−２,国民一般向け業務勘定,"2,100,408,337",,,,,,,,,,,"2,100,408,337","※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は4,787,276,757,819円である。"
厚生労働省,厚生労働省大臣官房会計課,東日本大震災復興特別会計,普通財産,独立行政法人　福祉医療機構,東京都千代田区霞が関１−２−２,一般勘定,"150,771,705",,,,,  ,,,,,,"150,771,705","※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は926,800,148,816円である。"
厚生労働省,年金局,年金特別会計,普通財産,独立行政法人　福祉医療機構,東京都千代田区霞が関１−２−２,承継債権管理回収勘定,"904,769,633,822",,,,,,,,,,,"904,769,633,822","※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は926,800,148,816円である。"
厚生労働省,年金局,年金特別会計,普通財産,日本年金機構,東京都千代田区霞が関１−２−２,,"124,186,014,944",,,,,,,,,,,"124,186,014,944",
厚生労働省,年金局,年金特別会計,普通財産,独立行政法人　地域医療機能推進機構,東京都千代田区霞が関１−２−２,,"446,983,638,521",,,,,,,,,,,"446,983,638,521",
厚生労働省,年金局,年金特別会計,普通財産,全国健康保険協会,東京都千代田区霞が関１−２−２,健康勘定（船員保険勘定）,"41,827,639,333",健康勘定,"1,273,745,296,618",,,,,,,,,"1,315,572,935,951",
厚生労働省,労働基準局,労働保険特別会計,普通財産,独立行政法人　労働安全衛生総合研究所,東京都千代田区霞が関１−２−２,社会復帰促進等事業勘定,"9,729,252,499",,,,,,,,,,,"9,729,252,499","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は9,961,952,121円である。"
厚生労働省,労働基準局,労働保険特別会計,普通財産,独立行政法人　労働政策研究・研修機構,東京都千代田区霞が関１−２−２,労災勘定,"1,741,610,842",,,,,,,,,,,"1,741,610,842","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は6,135,775,426円である。"
厚生労働省,労働基準局,労働保険特別会計,普通財産,独立行政法人　労働者健康福祉機構,東京都千代田区霞が関１−２−２,,"141,965,299,406",,,,,,,,,,,"141,965,299,406",
厚生労働省,労働基準局,労働保険特別会計,普通財産,独立行政法人　福祉医療機構,東京都千代田区霞が関１−２−２,労災年金担保貸付勘定,"4,424,731,817",,,,,,,,,,,"4,424,731,817","※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は926,800,148,816円である。"
厚生労働省,職業安定局,労働保険特別会計,普通財産,独立行政法人　情報処理推進機構,東京都千代田区霞が関１−２−２,地域事業出資業務勘定,"1,902,860,771",,,,,,,,,,,"1,902,860,771","※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は13,726,170,740円である。"
厚生労働省,職業安定局,労働保険特別会計,普通財産,独立行政法人　労働政策研究・研修機構,東京都千代田区霞が関１−２−２,雇用勘定,"4,151,762,015",,,,,,,,,,,"4,151,762,015","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は6,135,775,426円である。"
厚生労働省,職業安定局,労働保険特別会計,普通財産,独立行政法人　高齢・障害・求職者雇用支援機構,東京都千代田区霞が関１−２−２,高齢・障害者雇用支援勘定,"9,058,192,278",宿舎等勘定,"282,691,680,932",職業能力開発勘定,"93,873,907,386",,,,,,,"385,623,780,596","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は386,157,133,414円である。"
厚生労働省,職業安定局,労働保険特別会計,普通財産,独立行政法人　勤労者退職金共済機構,東京都千代田区霞が関１−２−２,財形勘定,"9,704,637,261",,,,,,,,,,,"9,704,637,261",
農林水産省,経営局,東日本大震災復興特別会計,普通財産,株式会社日本政策金融公庫,東京都千代田区霞が関１−２−１,危機対応円滑化業務勘定,"1,000,652,679",農林水産業者向け業務勘定,"32,285,807,443",,,,,,,,,"33,286,460,122","※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は4,787,276,757,819円である。"
経済産業省,大臣官房会計課,貿易再保険特別会計,普通財産,独立行政法人　日本貿易保険,東京都千代田区霞が関１−３−１,,"399,862,642,837",,,,,,,,,,,"399,862,642,837",
経済産業省,大臣官房会計課,特許特別会計,普通財産,国立研究開発法人　産業技術総合研究所,東京都千代田区霞が関１−３−１,,"1,128,998,439",,,,,,,,,,,"1,128,998,439","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は302,817,649,036円である。"
経済産業省,大臣官房会計課,東日本大震災復興特別会計,普通財産,株式会社　日本政策金融公庫,東京都千代田区霞が関１−３−１,危機対応円滑化業務勘定,"5,011,307,231",,,,,,,,,,,"5,011,307,231","※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は4,787,276,757,819円である。"
経済産業省,資源エネルギー庁,エネルギー対策特別会計,普通財産,国立研究開発法人　新エネルギー・産業技術総合開発機構,東京都千代田区霞が関１−３−１,エネルギー需給勘定,"9,942,765,776",電源利用勘定,"727,172,275",,,,,,,,,"10,669,938,051","※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は26,651,269,859円である。"
経済産業省,資源エネルギー庁,エネルギー対策特別会計,普通財産,独立行政法人　石油天然ガス・金属鉱物資源機構,東京都千代田区霞が関１−３−１,石油天然ガス等勘定,"341,805,543,256",石炭経過勘定,"33,452,633,874",,,,,,,,,"375,258,177,130","※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は619,799,246,237円である。"
経済産業省,資源エネルギー庁,エネルギー対策特別会計,普通財産,原子力損害賠償・廃炉等支援機構,東京都千代田区霞が関１−３−１,,"7,000,000,000",,,,,,,,,,,"7,000,000,000",
経済産業省,資源エネルギー庁,東日本大震災復興特別会計,普通財産,独立行政法人　石油天然ガス・金属鉱物資源機構,東京都千代田区霞が関１−３−１,石油天然ガス等勘定,"14,891,019,319",,,,,,,,,,,"14,891,019,319","※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は619,799,246,237円である。"
