省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,船舶数量,船舶価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,ＦＡＣ３０３３木更津飛行場,千葉県木更津市吾妻ほか,"19,566,651,439","2,099,929.49","19,220,854,078","20,707.33","24,453.61","274,955,451",0,"70,841,910",0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,本局,一般会計,普通財産,ＦＡＣ３０４９所沢通信施設,埼玉県所沢市並木ほか,"98,436,395,060","966,243.25","98,409,942,526",0,0,0,0,"26,452,534",0,0,0,市街化調整区域,都市計画用途地域指定なし,60,100
財務省,関東財務局,本局,一般会計,普通財産,ＦＡＣ３０４８キャンプ朝霞,埼玉県和光市南ほか,"7,470,300,866","115,794.23","7,410,830,720",270.25,270.25,"17,903,914",0,"41,566,232",0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,本局,一般会計,普通財産,ＦＡＣ３０５６大和田通信所,埼玉県新座市本多ほか,"21,343,233,835","433,956.96","21,085,903,408","1,965.09","1,965.09","127,897,023","18,425","129,414,979",0,0,0,市街化調整区域,都市計画用途地域指定なし,60,100
財務省,東海財務局,静岡財務事務所沼津出張所,一般会計,普通財産,ＦＡＣ３１２７富士営舎地区,静岡県御殿場市中畑ほか,"4,006,621,720","432,435.04","2,594,886,951","18,941.16","40,195.38","1,247,414,617","4,110,773","160,209,379",0,0,0,都市計画区域外,都市計画用途地域指定なし,,
財務省,中国財務局,本局,一般会計,普通財産,ＦＡＣ４０８３川上弾薬庫,広島県東広島市八本松町飯田,"15,637,329,148","2,604,141.88","14,064,970,293","20,031.34","20,266.05","193,701,287","4,270,994","1,374,386,574",0,0,0,市街化調整区域,,,
財務省,中国財務局,本局呉出張所,一般会計,普通財産,ＦＡＣ４１５２呉第六突堤,広島県呉市昭和町,"399,123,002","14,360.26","198,797,219","2,659.24","5,204.86","174,785,105","3,622,095","21,918,583",0,0,0,市街化区域,工業地域,60,200
財務省,中国財務局,本局呉出張所,一般会計,普通財産,ＦＡＣ４６１１灰ヶ峰通信施設,広島県呉市栃原町,"3,424,648",720.25,"1,585,990",15,30,"1,302,029","86,047","450,582",0,0,0,市街化調整区域,,,
財務省,中国財務局,本局呉出張所,一般会計,普通財産,ＦＡＣ４０８４広弾薬庫,広島県呉市広黄幡町,"4,026,938,632","224,642.42","2,944,799,823","7,616.40","7,616.40","126,275,685","275,940","955,587,184",0,0,0,市街化調整区域,,,
財務省,中国財務局,本局呉出張所,一般会計,普通財産,ＦＡＣ４０７８秋月弾薬庫,広島県江田島市江田島町字秋月,"6,386,671,540","559,392.65","5,939,223,579","19,422.10","23,590.69","139,772,619","394,408","307,280,934",0,0,0,非線引,都市計画用途地域指定なし,70,400
