省庁名,部局名,部局所名,会計名,分類種類,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,都市計画区域,用途地域,建ぺい率,容積率,処理方法
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市亀田本町１０１番１７,"2,934,531",173.17,"2,934,531",市街化区域,準工業地域,60,200,一般競争入札（売残）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市宮前町８番１１,"2,876,186",173.17,"2,876,186",市街化区域,準工業地域,60,200,当分の間入札実施が困難
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市戸倉町２２４番４、２２５番２、同番１３、同番１７、同番１８、同番１９、同番２０、同番２１、同番２２、同番２４、同番１０２、同番１０３、同番１０４,"119,563,704","7,664.34","119,563,704",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市新浜町１４５番２１,"1,540,941",304.66,"1,540,941",都市計画区域外,都市計画用途地域指定なし,,,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市日吉町１丁目５番８６外２３筆,"160,504,236","8,629.26","160,504,236",市街化区域,第一種低層住居専用地域,50,100,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市昭和２丁目１８８番１７、同番１８、同番２１,"53,467,729","2,841.61","53,467,729",市街化区域,準工業地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市桔梗４丁目３６５番１２、同番３３５,"11,289,166",897.39,"11,289,166",市街化区域,第一種低層住居専用地域,50,100,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市梁川町１１番２５、同番２６,"27,346,900",781.34,"27,346,900",市街化区域,第二種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市榎本町８１番２６、同番２７,"89,605,992","5,333.69","89,605,992",市街化区域,第一種低層住居専用地域,50,100,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市深堀町１８２番８５,"7,693,780",207.94,"7,693,780",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市深堀町１８２番９２,"8,488,078",211.62,"8,488,078",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市湯川町１丁目１１番３、同番６、同番７、同番２４、同番５３、同番５４、同番５５,"64,819,204","1,950.52","64,819,204",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市湯川町２丁目１２番１０,"29,900,215",771.3,"29,900,215",市街化区域,商業地域,80,500,一般競争入札（売残）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市船見町３番１２,"22,407,165",918.59,"22,407,165",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市船見町７番１４,"15,506,050",632.9,"15,506,050",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市花園町２７番１５,"68,801,248","1,950.50","68,801,248",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市金堀町４８番１５、同番１６、同番１７、同番１８,"27,200,768",988.4,"27,200,768",市街化区域,第二種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市釜谷町１００番３、４１３番４,"1,317,002",249.56,"1,317,002",都市計画区域外,都市計画用途地域指定なし,,,一般競争入札（未実施）
